Operation_ID,Stock_ID,Item_Name,Category,Date,Orders_Processed,Employee_Efficiency_Percentage,Machine_Downtime_Hours,Delayed_Orders,Returned_Orders
21477.0,2477.0,Traditional Handle,Kadi,2024-10-01,103.0,104.1,5.5,5.0,3.0
20773.0,1773.0,Gold Plated Handle,Handles,2024-10-01,114.0,76.5,15.0,8.0,3.0
21005.0,2005.0,KH-1239,Kadi,2024-10-01,103.0,101.7,1.8,13.0,7.0
24428.0,5428.0,Khutti,Handles,2024-10-01,97.0,68.7,12.9,5.0,5.0
22908.0,3908.0,Kadi Deluxe,Knob,2024-10-01,140.0,76.1,8.5,20.0,9.0
22969.0,3969.0,Khutti,Knob,2024-10-01,96.0,73.9,13.8,11.0,2.0
22984.0,3984.0,Key Stand,Kadi,2024-10-01,124.0,94.9,9.4,13.0,3.0
23913.0,4913.0,Tower Bolt Premium,Knob,2024-10-01,40.0,93.9,2.0,3.0,1.0
22129.0,3129.0,Traditional Handle,Knob,2024-10-01,180.0,82.3,6.8,21.0,10.0
20720.0,1720.0,Main Door Handle,Others,2024-10-01,23.0,77.43643221202855,10.1,2.0,1.0
22118.0,3118.0,Traditional Handle,Accessories,2024-10-01,134.0,85.3,12.7,12.0,5.0
20705.0,1705.0,Traditional Handle,Handles,2024-10-01,169.0,70.7,12.7,17.0,5.0
22779.0,3779.0,Gold Plated Handle,Handles,2024-10-01,68.0,83.6,13.2,5.0,3.0
22799.0,3799.0,Cross Knob,Kadi,2024-10-01,114.0,85.4,8.2,14.0,3.0
21431.0,2431.0,Tower Bolt,Others,2024-10-01,43.0,87.0,11.0,3.0,1.0
21068.0,2068.0,Main Door Handle,Kadi,2024-10-01,89.0,104.2,7.3,8.0,3.0
22547.0,3547.0,Designer Knob,Accessories,2024-10-01,114.0,77.9,13.5,5.0,7.0
24732.0,5732.0,KH-1239,Others,2024-10-01,78.0,76.9,4.7,9.0,5.0
20114.0,1114.0,Designer Knob,Kadi,2024-10-01,133.0,86.5,10.68449580691348,15.0,6.0
21818.0,2818.0,KH-1239,Accessories,2024-10-01,102.0,75.7,13.2,12.0,8.0
20476.0,1476.0,Stainless Steel Knob,Kadi,2024-10-01,171.0,84.8,8.1,10.0,6.0
23696.0,4696.0,Sofa Leg,Accessories,2024-10-01,158.0,78.2,10.0,11.0,9.0
24908.0,5908.0,Economy Kadi,Accessories,2024-10-01,119.0,90.1,10.0,15.0,8.0
20352.0,1352.0,KH-1239,Handles,2024-10-01,27.0,64.4,13.3,2.0,0.0
23235.0,4235.0,Profile Handle,Handles,2024-10-01,159.0,65.4,8.2,12.0,11.0
20318.0,1318.0,Stainless Steel Knob,Knob,2024-10-01,121.0,83.5,6.4,16.0,5.0
22050.0,3050.0,Decorative Kadi,Handles,2024-10-01,86.0,69.8,9.3,11.0,4.0
24614.0,5614.0,Cross Knob,Knob,2024-10-01,133.54674024116068,79.7,5.0,2.0,2.0
20959.0,1959.0,Tower Bolt Premium,Kadi,2024-10-02,141.0,77.1,2.0,18.0,10.0
22465.0,3465.0,Ultra Modern Handle,Knob,2024-10-02,173.0,79.4,8.9,9.0,10.0
22406.0,3406.0,Cross Knob,Knob,2024-10-02,91.0,84.6,10.7,10.0,5.0
22550.0,3550.0,Tower Bolt,Handles,2024-10-02,159.0,66.8,18.0,9.0,12.0
24858.0,5858.0,Cross Knob,Knob,2024-10-02,134.0,83.4,7.3,16.0,5.0
20918.0,1918.0,Khutti,Others,2024-10-02,95.0,75.7,10.5,13.0,3.0
20947.0,1947.0,Kadi Deluxe,Kadi,2024-10-02,86.0,102.8,7.3,10.0,3.0
23607.0,4607.0,KH-1239,Knob,2024-10-02,38.0,91.8,10.7,4.0,2.0
20973.0,1973.0,Brass Khutti,Knob,2024-10-02,127.0,93.2,12.7,13.0,3.0
22252.0,3252.0,Key Stand,Knob,2024-10-02,194.0,90.7,2.1,22.0,13.0
24178.0,5178.0,Khutti,Kadi,2024-10-02,133.0,77.43643221202855,4.9,9.0,7.0
21655.0,2655.0,KH-1239,Accessories,2024-10-02,170.0,79.8,5.1,15.0,9.0
22100.0,3100.0,Cross Knob,Knob,2024-10-02,91.0,79.6,25.35,9.0,5.0
24502.0,5502.0,Gold Plated Handle,Others,2024-10-02,140.0,78.8,6.4,19.0,4.0
21685.0,2685.0,Gold Plated Handle,Kadi,2024-10-02,49.0,78.7,7.0,6.0,2.0
24532.0,5532.0,Tower Bolt Premium,Handles,2024-10-02,64.0,51.85000000000001,13.6,4.0,4.0
24599.0,5599.0,Antique Handle,Accessories,2024-10-02,0.0,79.4,10.5,1.0,1.0
24655.0,5655.0,Key Stand,Kadi,2024-10-02,113.0,77.7,10.1,11.0,2.0
21740.0,2740.0,Traditional Handle,Kadi,2024-10-02,28.0,90.9,9.0,1.0,1.0
24711.0,5711.0,Stainless Steel Knob,Kadi,2024-10-02,96.0,84.3,8.3,6.0,3.0
21264.0,2264.0,Cross Knob,Knob,2024-10-02,187.0,74.9,2.1,25.0,4.0
21282.0,2282.0,Tower Bolt,Accessories,2024-10-02,194.0,83.6,13.4,13.0,5.0
20102.0,1102.0,KH-1239,Others,2024-10-02,191.0,71.0,10.68449580691348,13.0,12.0
20706.0,1706.0,Main Door Handle,Handles,2024-10-02,35.0,68.1,16.8,3.0,2.0
23048.0,4048.0,Antique Handle,Knob,2024-10-02,139.0,85.0,2.3,8.0,7.0
22897.0,3897.0,Profile Handle,Accessories,2024-10-02,40.0,79.0,7.4,3.0,1.0
23810.0,4810.0,KH-1239,Knob,2024-10-02,100.0,84.4,7.2,10.0,4.0
20628.0,1628.0,Traditional Handle,Others,2024-10-02,101.0,94.6,3.8,11.0,7.0
23867.0,4867.0,Khutti,Others,2024-10-02,142.0,71.7,3.3,21.0,5.0
24019.0,5019.0,Traditional Handle,Accessories,2024-10-02,42.0,84.7,12.7,3.0,1.0
23322.0,4322.0,Stainless Steel Knob,Others,2024-10-02,89.0,88.4,10.68449580691348,6.0,6.0
23437.0,4437.0,Ultra Modern Handle,Handles,2024-10-02,150.0,68.3,16.5,16.0,4.0
23276.0,4276.0,Gold Plated Handle,Others,2024-10-02,123.0,82.3,14.8,9.0,7.0
23527.0,4527.0,Khutti,Accessories,2024-10-02,117.0,70.5,6.4,10.0,7.0
20862.0,1862.0,Sofa Leg,Knob,2024-10-02,120.0,90.2,8.8,10.0,8.0
24108.0,5108.0,Main Door Handle,Accessories,2024-10-02,199.0,82.7,14.0,23.0,5.0
22754.0,3754.0,Stainless Steel Knob,Others,2024-10-02,77.0,90.0,10.3,7.0,6.0
23101.0,4101.0,Traditional Handle,Accessories,2024-10-02,199.0,77.5,10.4,20.0,13.0
21897.0,2897.0,Cross Knob,Accessories,2024-10-03,104.0,89.8,11.3,9.0,6.0
21898.0,2898.0,Key Stand,Accessories,2024-10-03,134.0,90.2,9.9,13.0,4.0
24731.0,5731.0,Brass Khutti,Knob,2024-10-03,115.0,81.6,4.9,6.0,5.0
21956.0,2956.0,KH-1239,Accessories,2024-10-03,86.0,70.0,4.5,7.0,6.0
23524.0,4524.0,Cross Knob,Others,2024-10-03,60.0,84.5,12.2,6.0,3.0
20135.0,1135.0,Tower Bolt Premium,Accessories,2024-10-03,64.0,80.8,10.7,9.0,3.0
21800.0,2800.0,Decorative Kadi,Others,2024-10-03,64.0,73.5,6.0,7.0,4.0
20645.0,1645.0,Key Stand,Knob,2024-10-03,167.0,79.2,3.4,13.0,5.0
20660.0,1660.0,Traditional Handle,Others,2024-10-03,124.0,87.9,2.8,7.0,4.0
21847.0,2847.0,Brass Khutti,Kadi,2024-10-03,108.0,78.0,2.3,11.0,6.0
20663.0,1663.0,Gold Plated Handle,Knob,2024-10-03,132.0,81.1,4.5,11.0,8.0
22072.0,3072.0,Brass Khutti,Kadi,2024-10-03,115.0,95.6,2.6,6.0,3.0
20486.0,1486.0,Decorative Kadi,Others,2024-10-03,67.0,74.9,11.2,8.0,4.0
23801.0,4801.0,Antique Handle,Accessories,2024-10-03,160.0,72.8,10.0,14.0,12.0
22652.0,3652.0,Economy Kadi,Knob,2024-10-03,124.0,72.6,8.8,11.0,4.0
21791.0,2791.0,Profile Handle,Accessories,2024-10-03,73.0,77.1,11.4,9.0,2.0
22728.0,3728.0,Designer Knob,Knob,2024-10-03,20.0,80.7,7.8,2.0,1.0
24097.0,5097.0,Ultra Modern Handle,Handles,2024-10-03,177.0,85.3,14.4,25.0,3.0
22771.0,3771.0,Tower Bolt,Knob,2024-10-03,50.0,78.4,7.1,6.0,3.0
24274.0,5274.0,Designer Knob,Accessories,2024-10-03,24.0,85.0,12.3,1.0,1.0
22778.0,3778.0,Sofa Leg,Accessories,2024-10-03,71.0,84.7,8.4,5.0,3.0
20333.0,1333.0,Tower Bolt,Handles,2024-10-03,182.0,83.1,19.1,23.0,5.0
24062.0,5062.0,Antique Handle,Accessories,2024-10-03,28.0,78.2,8.7,3.0,0.0
22792.0,3792.0,Kadi Deluxe,Others,2024-10-03,71.0,80.6,6.4,10.0,5.0
22111.0,3111.0,Key Stand,Kadi,2024-10-03,116.0,88.9,7.7,13.0,7.0
24330.0,5330.0,Profile Handle,Kadi,2024-10-03,192.0,79.1,7.7,22.0,9.0
22875.0,3875.0,Main Door Handle,Handles,2024-10-03,47.0,79.9,17.9,3.0,2.0
20365.0,1365.0,Antique Handle,Kadi,2024-10-03,86.0,104.24999999999999,7.2,12.0,2.0
24392.0,5392.0,Antique Handle,Others,2024-10-03,79.0,75.2,11.1,8.0,4.0
22251.0,3251.0,Tower Bolt,Kadi,2024-10-03,29.0,91.2,2.0,4.0,2.0
22223.0,3223.0,Stainless Steel Knob,Knob,2024-10-03,145.0,95.0,12.6,9.0,6.0
22221.0,3221.0,Khutti,Accessories,2024-10-03,194.0,83.8,12.9,11.0,14.0
24430.0,5430.0,Main Door Handle,Accessories,2024-10-03,93.0,82.3,4.5,12.0,6.0
20725.0,1725.0,Economy Kadi,Handles,2024-10-03,178.0,66.3,11.9,9.0,5.0
22861.0,3861.0,Economy Kadi,Kadi,2024-10-03,109.0,93.7,2.2,12.0,6.0
22676.0,3676.0,Ultra Modern Handle,Accessories,2024-10-03,114.0,75.6,8.0,10.0,3.0
20679.0,1679.0,Key Stand,Accessories,2024-10-03,22.0,76.0,12.0,1.0,0.0
24984.0,5984.0,Stainless Steel Knob,Others,2024-10-03,185.0,89.3,2.3,11.0,13.0
20010.0,1010.0,Khutti,Others,2024-10-03,69.0,82.6,14.9,5.0,1.0
21199.0,2199.0,Tower Bolt Premium,Knob,2024-10-03,122.0,77.43643221202855,4.9,14.0,9.0
20006.0,1006.0,Traditional Handle,Accessories,2024-10-03,167.0,70.2,13.6,22.0,5.0
24885.0,5885.0,Tower Bolt Premium,Kadi,2024-10-03,77.0,98.1,3.1,9.0,2.0
21734.0,2734.0,Main Door Handle,Handles,2024-10-03,64.0,69.7,8.5,4.0,3.0
24763.0,5763.0,Economy Kadi,Others,2024-10-04,74.0,92.3,2.6,10.0,5.0
23026.0,4026.0,Main Door Handle,Knob,2024-10-04,199.0,76.1,12.3,21.0,14.5
22995.0,3995.0,Profile Handle,Accessories,2024-10-04,138.0,76.1,13.7,12.0,4.0
24962.0,5962.0,Antique Handle,Accessories,2024-10-04,69.0,75.0,14.3,4.0,2.0
20763.0,1763.0,Cross Knob,Kadi,2024-10-04,102.0,97.9,3.5,14.0,2.0
22896.0,3896.0,Key Stand,Accessories,2024-10-04,157.0,79.5,9.3,20.0,4.0
21981.0,2981.0,Antique Handle,Kadi,2024-10-04,26.0,87.7,4.5,3.0,2.0
22003.0,3003.0,Sofa Leg,Kadi,2024-10-04,195.0,95.5,1.4,13.0,10.0
20821.0,1821.0,Kadi Deluxe,Handles,2024-10-04,25.0,72.0,8.5,1.0,0.0
22766.0,3766.0,Khutti,Handles,2024-10-04,136.0,74.4,15.3,15.0,4.0
24104.0,5104.0,Designer Knob,Handles,2024-10-04,32.0,80.4,17.4,3.0,1.0
20849.0,1849.0,KH-1239,Kadi,2024-10-04,171.0,89.8,8.4,15.0,8.0
22618.0,3618.0,Antique Handle,Handles,2024-10-04,22.0,83.0,12.3,3.0,0.0
22104.0,3104.0,Designer Knob,Handles,2024-10-04,83.0,85.2,17.4,7.0,6.0
24202.0,5202.0,Economy Kadi,Others,2024-10-04,163.0,88.0,8.4,18.0,6.0
21240.0,2240.0,Antique Handle,Kadi,2024-10-04,133.54674024116068,89.7,4.9,2.0,1.0
21267.0,2267.0,Tower Bolt,Handles,2024-10-04,105.0,68.3,15.6,13.0,5.0
22215.0,3215.0,KH-1239,Knob,2024-10-04,126.0,89.4,10.68449580691348,10.0,7.0
22349.0,3349.0,Stainless Steel Knob,Knob,2024-10-04,64.0,86.0,14.6,8.0,4.0
22343.0,3343.0,Main Door Handle,Accessories,2024-10-04,88.0,71.2,13.8,10.0,2.0
22340.0,3340.0,Profile Handle,Knob,2024-10-04,130.0,88.4,7.2,17.0,4.0
20228.0,1228.0,Khutti,Kadi,2024-10-04,81.0,95.6,1.6,8.0,4.0
20172.0,1172.0,Tower Bolt Premium,Others,2024-10-04,185.0,82.5,11.0,12.0,12.0
20665.0,1665.0,Khutti,Handles,2024-10-04,162.0,74.2,20.7,18.0,12.0
20788.0,1788.0,Sofa Leg,Others,2024-10-04,188.0,88.7,2.6,10.0,9.0
21435.0,2435.0,Designer Knob,Knob,2024-10-04,81.0,74.8,4.7,8.0,2.0
21821.0,2821.0,Stainless Steel Knob,Knob,2024-10-04,181.0,71.9,3.2,17.0,12.0
23468.0,4468.0,Sofa Leg,Others,2024-10-04,138.0,85.3,5.8,16.0,5.0
23397.0,4397.0,Tower Bolt,Accessories,2024-10-04,142.0,84.2,3.3,13.0,8.0
20539.0,1539.0,Tower Bolt,Handles,2024-10-04,48.0,75.0,17.3,7.0,3.0
24727.0,5727.0,Main Door Handle,Handles,2024-10-04,183.0,71.6,7.9,20.0,12.0
20627.0,1627.0,Gold Plated Handle,Knob,2024-10-04,62.0,74.3,2.4,6.0,4.0
23515.0,4515.0,Ultra Modern Handle,Accessories,2024-10-04,64.0,79.6,10.2,8.0,2.0
20617.0,1617.0,KH-1239,Knob,2024-10-04,167.0,88.7,4.4,9.0,7.0
23634.0,4634.0,Profile Handle,Knob,2024-10-04,116.0,78.2,4.6,16.0,4.0
24918.0,5918.0,Stainless Steel Knob,Others,2024-10-05,183.0,94.9,13.4,15.0,14.5
22259.0,3259.0,Profile Handle,Others,2024-10-05,151.0,82.3,8.5,20.0,11.0
23488.0,4488.0,Tower Bolt,Handles,2024-10-05,147.0,84.4,16.2,12.0,7.0
22277.0,3277.0,Tower Bolt Premium,Accessories,2024-10-05,115.0,73.6,6.4,7.0,5.0
21350.0,2350.0,Main Door Handle,Others,2024-10-05,193.0,82.7,6.4,14.0,13.0
22070.0,3070.0,Economy Kadi,Handles,2024-10-05,103.0,64.7,16.3,12.0,3.0
24127.0,5127.0,Key Stand,Handles,2024-10-05,180.0,73.4,10.2,15.0,4.0
21026.0,2026.0,Key Stand,Handles,2024-10-05,77.0,79.8,7.4,4.0,2.0
