Finance_ID,Stock_ID,Item_Name,Category,Date,Revenue,Cost,Profit,Tax,Net_Profit
11477,2477,Traditional Handle,Kadi,2024-10-01,18978.84,8830.24,10148.6,2029.72,8118.88
10773,1773,Gold Plated Handle,Handles,2024-10-01,32963.77,16996.75,15967.03,3193.41,12773.62
11005,2005,KH-1239,Kadi,2024-10-01,17648.39,6611.02,11037.37,2207.47,8829.9
14428,5428,Khutti,Handles,2024-10-01,30842.41,15620.43,15221.98,3044.4,12177.59
12908,3908,Kadi Deluxe,Knob,2024-10-01,35118.38,18835.38,16283.0,3256.6,13026.4
12969,3969,Khutti,Knob,2024-10-01,23476.82,10391.88,13084.95,2616.99,10467.96
12984,3984,Key Stand,Kadi,2024-10-01,12415.06,4859.69,7555.37,1511.07,6044.3
13913,4913,Tower Bolt Premium,Knob,2024-10-01,35541.43,14867.92,20673.51,4134.7,16538.81
12129,3129,Traditional Handle,Knob,2024-10-01,35918.53,15162.91,20755.62,4151.12,16604.49
10720,1720,Main Door Handle,Others,2024-10-01,16743.47,7344.37,9399.1,1879.82,7519.28
12118,3118,Traditional Handle,Accessories,2024-10-01,29928.22,10551.16,19377.06,3875.41,15501.65
10705,1705,Traditional Handle,Handles,2024-10-01,15555.88,7367.79,8188.09,1637.62,6550.47
12779,3779,Gold Plated Handle,Handles,2024-10-01,13834.34,7036.57,6797.77,1359.55,5438.22
12799,3799,Cross Knob,Kadi,2024-10-01,12767.05,6107.39,6659.66,1331.93,5327.73
11431,2431,Tower Bolt,Others,2024-10-01,10866.77,5621.88,5244.89,1048.98,4195.91
11068,2068,Main Door Handle,Kadi,2024-10-01,12963.02,4853.5,8109.52,1621.9,6487.62
12547,3547,Designer Knob,Accessories,2024-10-01,42820.54,19813.24,23007.3,4601.46,18405.84
14732,5732,KH-1239,Others,2024-10-01,36335.46,18944.5,17390.96,3478.19,13912.77
10114,1114,Designer Knob,Kadi,2024-10-01,6141.85,2436.67,3705.18,741.04,2964.14
11818,2818,KH-1239,Accessories,2024-10-01,-27220.73,10890.81,16329.92,3265.98,13063.94
10476,1476,Stainless Steel Knob,Kadi,2024-10-01,30592.48,12786.34,17806.14,3561.23,14244.91
13696,4696,Sofa Leg,Accessories,2024-10-01,30698.3,,,0.0,
14908,5908,Economy Kadi,Accessories,2024-10-01,23876.11,8002.47,15873.64,3174.73,12698.91
10352,1352,KH-1239,Handles,2024-10-01,17307.22,7872.3,9434.93,1886.99,7547.94
13235,4235,Profile Handle,Handles,2024-10-01,33191.58,16509.32,16682.26,3336.45,13345.81
10318,1318,Stainless Steel Knob,Knob,2024-10-01,6666.53,3243.5,3423.04,684.61,2738.43
12050,3050,Decorative Kadi,Handles,2024-10-01,8496.02,3547.32,4948.7,989.74,3958.96
14614,5614,Cross Knob,Knob,2024-10-01,10824.71,6319.44,4505.26,901.05,3604.21
10959,1959,Tower Bolt Premium,Kadi,2024-10-02,39902.16,16593.03,23309.13,4661.83,18647.31
12465,3465,Ultra Modern Handle,Knob,2024-10-02,14182.94,5914.99,8267.94,1653.59,6614.35
12406,3406,Cross Knob,Knob,2024-10-02,20269.41,11128.71,9140.7,1828.14,7312.56
12550,3550,Tower Bolt,Handles,2024-10-02,30679.1,14186.01,16493.09,3298.62,13194.47
14858,5858,Cross Knob,Knob,2024-10-02,24202.16,14133.33,10068.83,2013.77,8055.07
10918,1918,Khutti,Others,2024-10-02,7961.95,3425.25,4536.7,907.34,3629.36
10947,1947,Kadi Deluxe,Kadi,2024-10-02,30877.05,12020.3,18856.75,3771.35,15085.4
13607,4607,KH-1239,Knob,2024-10-02,33868.06,18984.21,14883.85,2976.77,11907.08
10973,1973,Brass Khutti,Knob,2024-10-02,20192.28,11134.15,9058.13,1811.63,7246.5
12252,3252,Key Stand,Knob,2024-10-02,39146.82,18695.13,20451.69,4090.34,16361.35
14178,5178,Khutti,Kadi,2024-10-02,27228.52,10735.25,16493.27,3298.65,13194.61
11655,2655,KH-1239,Accessories,2024-10-02,44498.3,17653.13,26845.17,5369.03,21476.14
12100,3100,Cross Knob,Knob,2024-10-02,36551.26,43861.51,21165.96,4233.19,16932.77
14502,5502,Gold Plated Handle,Others,2024-10-02,6094.5,3563.05,2531.45,506.29,2025.16
11685,2685,Gold Plated Handle,Kadi,2024-10-02,37042.53,18616.43,18426.1,3685.22,14740.88
14532,5532,Tower Bolt Premium,Handles,2024-10-02,32671.22,14846.81,17824.4,3564.88,14259.52
14599,5599,Antique Handle,Accessories,2024-10-02,43747.1,19090.62,24656.48,4931.3,19725.19
14655,5655,Key Stand,Kadi,2024-10-02,21092.79,10567.3,10525.49,2105.1,8420.4
11740,2740,Traditional Handle,Kadi,2024-10-02,10612.06,4908.34,5703.72,1140.74,4562.98
14711,5711,Stainless Steel Knob,Kadi,2024-10-02,18801.93,8142.24,10659.69,2131.94,8527.75
11264,2264,Cross Knob,Knob,2024-10-02,20093.6,9055.61,11037.99,2207.6,8830.4
11282,2282,Tower Bolt,Accessories,2024-10-02,40584.93,15035.41,25549.52,5109.9,20439.62
10102,1102,KH-1239,Others,2024-10-02,16331.91,7633.3,8698.61,1739.72,6958.89
10706,1706,Main Door Handle,Handles,2024-10-02,26448.02,13365.37,13082.65,2616.53,10466.12
13048,4048,Antique Handle,Knob,2024-10-02,6350.52,2668.04,3682.48,736.5,2945.99
12897,3897,Profile Handle,Accessories,2024-10-02,11692.72,4031.3,7661.42,1532.28,6129.14
13810,4810,KH-1239,Knob,2024-10-02,15458.9,8350.72,7108.19,1421.64,5686.55
