Operation_ID,Stock_ID,Item_Name,Category,Date,Orders_Processed,Employee_Efficiency_Percentage,Machine_Downtime_Hours,Delayed_Orders,Returned_Orders
21477,2477,Traditional Handle,Kadi,2024-10-01,103.0,104.1,5.5,5,3.0
20773,1773,Gold Plated Handle,Handles,2024-10-01,114.0,76.5,15.0,8,3.0
21005,2005,KH-1239,Kadi,2024-10-01,103.0,101.7,1.8,13,7.0
24428,5428,Khutti,Handles,2024-10-01,97.0,68.7,12.9,5,5.0
22908,3908,Kadi Deluxe,Knob,2024-10-01,140.0,76.1,8.5,20,9.0
22969,3969,Khutti,Knob,2024-10-01,96.0,73.9,13.8,11,2.0
22984,3984,Key Stand,Kadi,2024-10-01,124.0,94.9,9.4,13,3.0
23913,4913,Tower Bolt Premium,Knob,2024-10-01,40.0,93.9,2.0,3,1.0
22129,3129,Traditional Handle,Knob,2024-10-01,180.0,82.3,6.8,21,10.0
20720,1720,Main Door Handle,Others,2024-10-01,23.0,,10.1,2,1.0
22118,3118,Traditional Handle,Accessories,2024-10-01,134.0,85.3,12.7,12,5.0
20705,1705,Traditional Handle,Handles,2024-10-01,169.0,70.7,12.7,17,5.0
22779,3779,Gold Plated Handle,Handles,2024-10-01,68.0,83.6,13.2,5,3.0
22799,3799,Cross Knob,Kadi,2024-10-01,114.0,85.4,8.2,14,3.0
21431,2431,Tower Bolt,Others,2024-10-01,43.0,87.0,11.0,3,1.0
21068,2068,Main Door Handle,Kadi,2024-10-01,89.0,104.2,7.3,8,3.0
22547,3547,Designer Knob,Accessories,2024-10-01,114.0,77.9,13.5,5,7.0
24732,5732,KH-1239,Others,2024-10-01,78.0,76.9,4.7,9,5.0
20114,1114,Designer Knob,Kadi,2024-10-01,133.0,86.5,,15,6.0
21818,2818,KH-1239,Accessories,2024-10-01,102.0,75.7,13.2,12,8.0
20476,1476,Stainless Steel Knob,Kadi,2024-10-01,171.0,84.8,8.1,10,6.0
23696,4696,Sofa Leg,Accessories,2024-10-01,158.0,78.2,10.0,11,9.0
24908,5908,Economy Kadi,Accessories,2024-10-01,119.0,90.1,10.0,15,8.0
20352,1352,KH-1239,Handles,2024-10-01,27.0,64.4,13.3,2,0.0
23235,4235,Profile Handle,Handles,2024-10-01,159.0,65.4,8.2,12,11.0
20318,1318,Stainless Steel Knob,Knob,2024-10-01,121.0,83.5,6.4,16,5.0
22050,3050,Decorative Kadi,Handles,2024-10-01,86.0,69.8,9.3,11,4.0
24614,5614,Cross Knob,Knob,2024-10-01,,79.7,5.0,2,2.0
20959,1959,Tower Bolt Premium,Kadi,2024-10-02,141.0,77.1,2.0,18,10.0
22465,3465,Ultra Modern Handle,Knob,2024-10-02,173.0,79.4,8.9,9,10.0
22406,3406,Cross Knob,Knob,2024-10-02,91.0,84.6,10.7,10,5.0
22550,3550,Tower Bolt,Handles,2024-10-02,159.0,66.8,18.0,9,12.0
24858,5858,Cross Knob,Knob,2024-10-02,134.0,83.4,7.3,16,5.0
20918,1918,Khutti,Others,2024-10-02,95.0,75.7,10.5,13,3.0
20947,1947,Kadi Deluxe,Kadi,2024-10-02,86.0,102.8,7.3,10,3.0
23607,4607,KH-1239,Knob,2024-10-02,38.0,91.8,10.7,4,2.0
20973,1973,Brass Khutti,Knob,2024-10-02,127.0,93.2,12.7,13,3.0
22252,3252,Key Stand,Knob,2024-10-02,194.0,90.7,2.1,22,13.0
24178,5178,Khutti,Kadi,2024-10-02,133.0,,4.9,9,7.0
21655,2655,KH-1239,Accessories,2024-10-02,170.0,79.8,5.1,15,9.0
22100,3100,Cross Knob,Knob,2024-10-02,91.0,79.6,54.5,9,5.0
24502,5502,Gold Plated Handle,Others,2024-10-02,140.0,78.8,6.4,19,4.0
