Sale_ID,Stock_ID,Item_Name,Category,Sale_Quantity,Sale_Price,Discount,Date_Sold,Customer_Region,Return_Status,Total_Revenue
7390,3390,Cross Knob,Others,45.0,1011.56,0.0,2024-10-01,Central,No,45520.37
5450,1450,Traditional Handle,Others,48.0,1872.89,0.0,2024-10-01,North,No,89898.68
8358,4358,Gold Plated Handle,Accessories,10.0,1760.1,15.0,2024-10-01,South,No,14960.81
7391,3391,Gold Plated Handle,Accessories,10.7999999999999,2207.09,15.0,2024-10-01,North,No,20261.12
7382,3382,Kadi Deluxe,Knob,1.0,1714.02,10.0,2024-10-01,East,No,1542.62
7360,3360,Decorative Kadi,Accessories,34.0,1810.71,0.0,2024-10-01,East,No,61564.31
9498,5498,Tower Bolt Premium,Knob,21.0,1931.68,5.0,2024-10-01,Central,No,38536.95
6946,2946,Cross Knob,Kadi,45.6,1067.82,15.0,2024-10-01,North,No,41388.54
9644,5644,Economy Kadi,Knob,27.0,2735.27,20.0,2024-10-01,South,No,59081.81
8996,4996,Tower Bolt,Accessories,30.0,1475.1,5.0,2024-10-01,East,No,42040.23
7663,3663,Brass Khutti,Handles,20.0,731.44,20.0,2024-10-01,West,No,11703.04
7339,3339,Tower Bolt Premium,Others,1.0,2578.84,0.0,2024-10-01,West,No,2578.84
7862,3862,Cross Knob,Kadi,47.0,2880.15,20.0,2024-10-01,Central,No,108293.49
8062,4062,Khutti,Kadi,7.0,2303.69,20.0,2024-10-01,South,No,12900.68
7922,3922,KH-1239,Knob,24.0,2877.73,0.0,2024-10-01,North,No,69065.44
9066,5066,Ultra Modern Handle,Accessories,45.0,,20.0,2024-10-01,East,No,
5576,1576,Designer Knob,Knob,32.0,1510.78,5.0,2024-10-01,Central,No,45927.74
8569,4569,Khutti,Handles,10.7999999999999,2044.35,20.0,2024-10-01,North,No,17663.19
7252,3252,Key Stand,Knob,0.0,696.96,0.0,2024-10-01,North,No,0.0
6312,2312,Key Stand,Handles,16.0,1218.38,10.0,2024-10-01,East,No,17544.73
9143,5143,Profile Handle,Accessories,45.0,1573.03,10.0,2024-10-01,West,No,63707.59
7452,3452,Khutti,Accessories,5.0,2994.24,20.0,2024-10-01,West,Yes,11976.96
7903,3903,Tower Bolt Premium,Handles,36.0,1574.54,15.0,2024-10-01,East,No,48181.05
6302,2302,Key Stand,Kadi,4.0,1896.81,10.0,2024-10-01,East,No,6828.51
7572,3572,Traditional Handle,Accessories,22.0,1863.94,5.0,2024-10-01,Central,No,38956.26
9547,5547,Key Stand,Others,15.6,2098.35,5.0,2024-10-01,North,No,31097.5
5627,1627,Gold Plated Handle,Knob,10.0,2807.86,5.0,2024-10-01,Central,No,26674.67
6223,2223,Ultra Modern Handle,Accessories,52.8,711.69,15.0,2024-10-01,North,Yes,31940.66
8283,4283,Ultra Modern Handle,Knob,2.0,2890.57,5.0,2024-10-01,West,No,5492.07
7176,3176,Tower Bolt,Accessories,15.0,2930.65,10.0,2024-10-01,West,No,39563.77
5039,1039,Main Door Handle,Kadi,7.0,1765.93,5.0,2024-10-01,Central,No,11743.43
5845,1845,Khutti,Accessories,20.0,2154.79,10.0,2024-10-01,East,No,38786.3
9633,5633,Economy Kadi,Kadi,8.0,2825.64,15.0,2024-10-01,East,No,19214.32
5831,1831,Key Stand,Handles,47.0,986.57,10.0,2024-10-01,Central,No,41732.09
6794,2794,Designer Knob,Handles,49.0,1873.19,20.0,2024-10-01,West,No,73428.95
5296,1296,Gold Plated Handle,Others,25.0,1675.62,20.0,2024-10-01,West,No,33512.45
6711,2711,Kadi Deluxe,Handles,42.0,2638.34,10.0,2024-10-01,Central,No,99729.26
7432,3432,Tower Bolt,Accessories,36.0,1395.21,0.0,2024-10-01,Central,No,50227.68
6692,2692,Khutti,Others,48.0,2593.91,15.0,2024-10-01,West,No,105831.4
