Stock_ID,Item_Name,Category,Quantity_Available,Restock_Threshold,Purchase_Cost,Selling_Price,Date_Added,Supplier,Defective_Stock
5849,Brass Khutti,Others,589.0,5.0,54.0,75.6922618411945,2024-10-01,Veeran Gowda (Karnataka),2.0
5277,Tower Bolt,Handles,930.0,30.0,706.0,1054.51468636785,2024-10-01,Iyer (Chennai),6.0
4971,Tower Bolt,Accessories,147.0,50.0,395.0,571.441872582862,2024-10-01,Tiwary (Mumbai),15.0
2844,Decorative Kadi,Knob,872.0,100.0,909.0,1405.92371322357,2024-10-01,Veeran Gowda (Karnataka),4.0
3029,Kadi Deluxe,Handles,154.0,100.0,334.0,554.542510319283,2024-10-01,Amrit Singh (Punjab),3.0
2528,Kadi Deluxe,Knob,118.0,30.0,954.0,1859.39994227563,2024-10-01,Veeran Gowda (Karnataka),9.0
2527,Tower Bolt,Kadi,562.0,100.0,182.0,324.879604810139,2024-10-01,Rahul (AP),12.0
1053,Profile Handle,Kadi,326.0,15.0,558.0,824.882522460791,2024-10-01,Shukla (Gujarat),2.0
5806,Economy Kadi,Others,525.0,20.0,681.0,1341.73034459541,2024-10-01,Abdul Khan (Hyderabad),2.0
1062,Khutti,Accessories,92.0,5.0,895.0,1434.0378336546,2024-10-01,Shukla (Gujarat),7.0
3281,Ultra Modern Handle,Accessories,770.0,30.0,632.0,905.111437579125,2024-10-01,Tiwary (Mumbai),27.0
4626,Profile Handle,Knob,207.0,100.0,873.0,1740.03980196358,2024-10-01,Shukla (Gujarat),9.0
2760,Sofa Leg,Knob,26.0,20.0,533.0,861.671978829448,2024-10-01,Tiwary (Mumbai),27.0
1079,Gold Plated Handle,Handles,655.0,5.0,433.0,820.597470074308,2024-10-01,Abdul Khan (Hyderabad),4.0
3257,Sofa Leg,Knob,212.0,100.0,231.0,444.64169966786,2024-10-01,Rahul (AP),27.0
4314,Brass Khutti,Accessories,160.0,30.0,279.0,549.08915080864,2024-10-01,Abdul Khan (Hyderabad),9.0
2087,Tower Bolt Premium,Knob,52.0,10.0,111.0,204.333757893048,2024-10-01,Venkatesh Gopal (Telangana),5.0
4169,Designer Knob,Handles,129.0,10.0,809.0,1511.52976520283,2024-10-01,Amrit Singh (Punjab),7.0
1601,Antique Handle,Accessories,427.0,15.0,508.0,770.253120061062,2024-10-01,Shukla (Gujarat),3.0
1687,Kadi Deluxe,Kadi,238.0,20.0,688.0,1065.45364314806,2024-10-01,Hameesh (Kerala),2.0
5054,Profile Handle,Kadi,350.0,30.0,103.0,201.225752893418,2024-10-01,Iyer (Chennai),1.0
2189,Brass Khutti,Accessories,777.0,10.0,430.0,752.611768170444,2024-10-01,Rajavardhan (Chennai),0.0
1826,KH-1239,Accessories,962.0,20.0,645.0,1067.65100839966,2024-10-01,Veeran Gowda (Karnataka),4.0
4138,Kadi Deluxe,Accessories,19.0,15.0,440.0,642.862043971812,2024-10-01,Abdul Khan (Hyderabad),5.0
1741,Traditional Handle,Others,54.0,30.0,407.0,575.526045363732,2024-10-01,Tiwary (Mumbai),24.0
2677,KH-1239,Knob,250.0,50.0,847.0,1349.74352094773,2024-10-01,Rahul (AP),18.0
5584,KH-1239,Accessories,542.0,20.0,388.0,588.978583519051,2024-10-01,Hameesh (Kerala),2.0
4739,Traditional Handle,Kadi,,15.0,882.0,1334.09684688994,2024-10-01,Abdul Khan (Hyderabad),3.0
2394,Main Door Handle,Handles,262.0,10.0,250.0,377.188843400898,2024-10-01,Rahul (AP),0.0
3920,Sofa Leg,Kadi,773.0,10.0,782.0,1156.02419448267,2024-10-01,Abdul Khan (Hyderabad),1.0
4466,Designer Knob,Kadi,555.0,20.0,116.0,189.570034618914,2024-10-01,Iyer (Chennai),4.0
3843,Stainless Steel Knob,Others,174.0,20.0,611.0,872.464825734702,2024-10-01,Amrit Singh (Punjab),2.0
4191,Tower Bolt Premium,Knob,99.0,20.0,146.0,252.262294247149,2024-10-02,Abdul Khan (Hyderabad),4.0
5203,Antique Handle,Handles,744.0,50.0,614.0,920.489857365855,2024-10-02,Veeran Gowda (Karnataka),9.0
3820,Ultra Modern Handle,Accessories,686.0,30.0,191.0,298.639688653126,2024-10-02,Rahul (AP),6.0
4778,Ultra Modern Handle,Others,51.0,,293.0,563.322937094783,2024-10-02,Rahul (AP),3.0
2158,Khutti,Kadi,382.0,10.0,893.0,1416.39566722144,2024-10-02,Veeran Gowda (Karnataka),3.0
2880,Economy Kadi,Accessories,585.0,5.0,720.0,1169.54355877848,2024-10-02,Rahul (AP),0.0
3207,Tower Bolt Premium,Accessories,190.0,10.0,937.0,1698.93026765777,2024-10-02,Venkatesh Gopal (Telangana),1.0
5737,Main Door Handle,Knob,233.0,50.0,683.0,1101.96353110809,2024-10-02,Shukla (Gujarat),2.0
1568,Cross Knob,Knob,554.0,20.0,830.0,1559.33602386706,2024-10-02,Iyer (Chennai),2.0
4863,Designer Knob,Accessories,435.0,50.0,677.0,986.791179649149,2024-10-02,Veeran Gowda (Karnataka),1.0
2248,Key Stand,Handles,652.0,5.0,318.0,518.499762414309,2024-10-02,Abdul Khan (Hyderabad),9.0
5704,Economy Kadi,Accessories,320.0,20.0,605.0,1121.9107966315,2024-10-02,Amrit Singh (Punjab),4.0
1211,Ultra Modern Handle,Accessories,619.0,100.0,156.0,285.10541409041,2024-10-02,Amrit Singh (Punjab),9.0
4072,Cross Knob,Kadi,994.0,100.0,306.0,529.513694589553,2024-10-02,Abdul Khan (Hyderabad),5.0
4856,Main Door Handle,Accessories,138.0,20.0,646.0,1284.79035974087,2024-10-02,Amrit Singh (Punjab),6.0
5050,Stainless Steel Knob,Kadi,296.0,30.0,466.0,793.756172028136,2024-10-02,Rajavardhan (Chennai),6.0
2923,Ultra Modern Handle,Others,195.0,100.0,288.0,449.957458420307,2024-10-02,Rahul (AP),0.0
5052,KH-1239,Accessories,306.0,20.0,496.0,951.494609851993,2024-10-02,Abdul Khan (Hyderabad),2.0
5837,Kadi Deluxe,Handles,243.0,50.0,971.0,1914.58528909805,2024-10-02,Amrit Singh (Punjab),0.0
3183,Economy Kadi,Knob,894.0,30.0,216.0,387.253818591577,2024-10-02,Rajavardhan (Chennai),7.0
5810,Profile Handle,Accessories,756.0,30.0,266.0,467.033450580289,2024-10-02,Tiwary (Mumbai),9.0
3303,Kadi Deluxe,Others,140.0,30.0,169.0,250.001620244666,2024-10-02,Shukla (Gujarat),0.0
1262,KH-1239,Kadi,241.0,100.0,593.0,947.653566872909,2024-10-02,Abdul Khan (Hyderabad),8.0
4970,Sofa Leg,Handles,325.0,10.0,128.0,251.856814494377,2024-10-02,Abdul Khan (Hyderabad),3.0
4553,Kadi Deluxe,Accessories,185.0,100.0,281.0,535.36073859094,2024-10-02,Venkatesh Gopal (Telangana),0.0
5443,Brass Khutti,Knob,566.0,10.0,657.0,1060.53050999095,2024-10-02,Veeran Gowda (Karnataka),3.0
3327,Profile Handle,Kadi,980.0,100.0,941.0,1526.80012969272,2024-10-02,Venkatesh Gopal (Telangana),
4431,Economy Kadi,Handles,120.0,50.0,231.0,428.692792161726,2024-10-02,Amrit Singh (Punjab),6.0
2962,Tower Bolt,Knob,341.0,20.0,633.0,1081.0410509077,2024-10-02,Veeran Gowda (Karnataka),5.0
2355,Economy Kadi,Others,293.0,30.0,96.0,158.410239595147,2024-10-02,Venkatesh Gopal (Telangana),8.0
5419,Cross Knob,Others,474.0,50.0,911.0,1482.00804632903,2024-10-02,Hameesh (Kerala),7.0
1811,Gold Plated Handle,Handles,473.0,5.0,230.0,445.82806187222,2024-10-02,Rahul (AP),12.0
1657,Gold Plated Handle,Knob,211.0,50.0,308.0,437.442133385023,2024-10-02,Rahul (AP),21.0
2666,Designer Knob,Handles,276.0,30.0,752.0,1092.82704048312,2024-10-02,Venkatesh Gopal (Telangana),2.0
5599,Antique Handle,Accessories,549.0,20.0,560.0,1106.92155081004,2024-10-02,Hameesh (Kerala),0.0
1430,Ultra Modern Handle,Knob,,20.0,876.0,1616.84974276413,2024-10-03,Tiwary (Mumbai),6.0
4069,Gold Plated Handle,Handles,195.0,30.0,298.0,589.68191225303,2024-10-03,Rajavardhan (Chennai),4.0
5180,Economy Kadi,Knob,608.0,10.0,684.0,1077.479481814,2024-10-03,Amrit Singh (Punjab),3.0
5565,Gold Plated Handle,Handles,449.0,100.0,150.0,215.605149530291,2024-10-03,Shukla (Gujarat),2.0
1587,Sofa Leg,Accessories,797.0,30.0,176.0,348.423065069095,2024-10-03,Amrit Singh (Punjab),3.0
5065,Decorative Kadi,Handles,560.0,20.0,493.0,935.193870310575,2024-10-03,Shukla (Gujarat),
3498,Profile Handle,Others,766.0,100.0,125.0,207.0927890327,2024-10-03,Rahul (AP),18.0
3792,Kadi Deluxe,Others,8.0,10.0,63.0,114.190498017501,2024-10-03,Shukla (Gujarat),8.0
3525,Gold Plated Handle,Knob,203.0,,531.0,1046.62051246232,2024-10-03,Amrit Singh (Punjab),4.0
3592,Antique Handle,Kadi,313.0,20.0,123.0,228.509858924584,2024-10-03,Abdul Khan (Hyderabad),9.0
1029,Main Door Handle,Accessories,935.0,50.0,634.0,998.747708028101,2024-10-03,Iyer (Chennai),6.0
1910,Antique Handle,Accessories,874.0,100.0,72.0,132.191762076494,2024-10-03,Rajavardhan (Chennai),7.0
5557,Kadi Deluxe,Accessories,98.0,20.0,445.0,826.402470944491,2024-10-03,Tiwary (Mumbai),24.0
3907,Brass Khutti,Handles,284.0,100.0,408.0,796.304688740314,2024-10-03,Tiwary (Mumbai),21.0
1686,Economy Kadi,Handles,44.0,5.0,511.0,928.489708563327,2024-10-03,Iyer (Chennai),1.0
5318,Main Door Handle,Others,261.0,10.0,359.0,708.23208408935,2024-10-03,Rahul (AP),12.0
5317,Traditional Handle,Accessories,23.0,5.0,459.0,871.019982696548,2024-10-03,Venkatesh Gopal (Telangana),0.0
4308,Khutti,Others,552.0,50.0,55.0,96.8985407212983,2024-10-03,Tiwary (Mumbai),24.0
4809,Designer Knob,Kadi,363.0,15.0,602.0,923.077443329719,2024-10-03,Tiwary (Mumbai),27.0
2177,Main Door Handle,Handles,705.0,100.0,300.0,534.436486653395,2024-10-03,Veeran Gowda (Karnataka),3.0
3709,KH-1239,Accessories,379.0,50.0,649.0,1181.58666978556,2024-10-03,Abdul Khan (Hyderabad),8.0
1010,Khutti,Others,898.0,100.0,851.0,1599.45520407423,2024-10-03,Abdul Khan (Hyderabad),0.0
1019,Brass Khutti,Others,785.0,15.0,127.0,190.873034068734,2024-10-03,Hameesh (Kerala),0.0
4117,Tower Bolt Premium,Knob,224.0,30.0,885.0,1492.10036805801,2024-10-03,Veeran Gowda (Karnataka),1.0
1060,Ultra Modern Handle,Accessories,28.0,5.0,698.0,1154.87886187137,2024-10-03,Tiwary (Mumbai),21.0
3430,Brass Khutti,Kadi,64.0,100.0,728.0,1046.37218060484,2024-10-03,Rajavardhan (Chennai),0.0
2798,Stainless Steel Knob,Handles,816.0,20.0,848.0,1316.77689228077,2024-10-03,Rajavardhan (Chennai),0.0
3445,Gold Plated Handle,Kadi,342.0,30.0,998.0,1601.07815830804,2024-10-03,Tiwary (Mumbai),15.0
1260,KH-1239,Handles,465.0,,66.0,106.816473387273,2024-10-03,Veeran Gowda (Karnataka),0.0
1417,Main Door Handle,Handles,456.0,5.0,758.0,1134.84145462756,2024-10-03,Shukla (Gujarat),6.0
1217,Tower Bolt,Knob,840.0,10.0,306.0,594.535962315481,2024-10-03,Rajavardhan (Chennai),9.0
4184,Kadi Deluxe,Accessories,122.0,20.0,667.0,1258.52489169906,2024-10-03,Amrit Singh (Punjab),7.0
1717,Designer Knob,Knob,616.0,,772.0,1439.55638868523,2024-10-03,Hameesh (Kerala),1.0
2941,Main Door Handle,Others,2.0,20.0,393.0,697.891550648979,2024-10-03,Abdul Khan (Hyderabad),5.0
