Item_Name,Stock_A_Count,Stock_B_Count,Stock_C_Count,Sales_A_Count,Sales_B_Count,Sales_C_Count,Stock_Turnover,Category,Suggested_Action
Antique Handle,122,63,61,114,64,68,1467.375,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,774.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,981.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,866.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,693.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,841.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,818.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,713.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,889.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,925.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,957.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,836.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,969.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,842.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,573.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,808.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,962.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,388.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,738.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,712.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,952.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,972.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,897.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,959.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,905.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,786.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,940.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,740.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,828.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,666.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,785.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,584.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,1306.5,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,788.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,840.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,957.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,1467.375,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,630.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,748.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,622.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,908.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,605.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,688.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,595.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,984.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,639.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,271.0,Overstock,Push Sales - Implement Promotions
Antique Handle,122,63,61,114,64,68,686.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,877.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,445.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,910.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,877.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,787.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,748.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,849.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,474.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,664.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,505.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,864.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,440.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,956.0,Frequent-A,Review Strategy
Antique Handle,122,63,61,114,64,68,672.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,759.0,Frequent-C,Review Strategy
Antique Handle,122,63,61,114,64,68,300.0,Frequent-C,Review Strategy
